Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Ri6 A (đ/kg),80.000 – 90.000,90.000 – 105.000,"▲ +10.000 - 15.000 (+14,3%)",2026-04-14
Sầu riêng Ri6 B (đ/kg),65.000 – 75.000,75.000 – 90.000,"▲ +10.000 - 15.000 (+17,9%)",2026-04-14
Sầu riêng Thái VIP A (đ/kg),150.000 – 165.000,160.000 – 165.000,"▲ +10.000 - 0 (+3,2%)",2026-04-14
Sầu riêng Thái VIP B (đ/kg),125.000 – 135.000,115.000 – 130.000,"▼ -10.000 - 5.000 (-5,8%)",2026-04-14
Sầu riêng Thái A (đ/kg),110.000 – 120.000,115.000 – 125.000,"▲ +5.000 (+4,3%)",2026-04-14
Sầu riêng Thái B (đ/kg),100.000 – 110.000,105.000 – 113.000,"▲ +5.000 - 3.000 (+4,3%)",2026-04-14
Sầu riêng Musang King A (đ/kg),135.000 – 145.000,135.000 – 142.000,"▼ -0 - 3.000 (-1,1%)",2026-04-14
Sầu riêng Chuồng Bò A (đ/kg),70.000 – 75.000,85.000 – 95.000,"▲ +15.000 - 20.000 (+24,1%)",2026-04-14
Sầu riêng Ri6 C (đ/kg),-,55.000 – 65.000,Mới cập nhật,2026-04-14
Sầu riêng Musang King B (đ/kg),-,115.000 – 122.000,Mới cập nhật,2026-04-14
