Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Thái (VIP A),165.000 đ/kg,150.000 – 160.000 đ/kg,"▼ -5.000 đ (-3,0%)",2026-03-26
Sầu riêng Thái (VIP B),145.000 đ/kg,130.000 – 145.000 đ/kg,Không đổi,2026-03-26
Sầu riêng Thái (Mẫu đẹp A),145.000 đ/kg,120.000 đ/kg,"▼ -25.000 đ (-17,2%)",2026-03-26
Sầu riêng Thái (Mẫu đẹp B),125.000 đ/kg,88.000 – 100.000 đ/kg,"▼ -25.000 đ (-20,0%)",2026-03-26
Sầu riêng Thái (Loại C),75.000 đ/kg,115.000 – 125.000 đ/kg,"▲ +50.000 đ (+66,7%)",2026-03-26
Sầu riêng Thái (Dạt),65.000 đ/kg,55.000 – 65.000 đ/kg,Không đổi,2026-03-26
Sầu riêng Thái (C-D),65.000 đ/kg,60.000 – 70.000 đ/kg,"▲ +5.000 đ (+7,7%)",2026-03-26
Sầu riêng Thái (Dạt nặng),50.000 đ/kg,50.000 đ/kg,Không đổi,2026-03-26
Sầu riêng Thái (Lỗi),105.000 đ/kg,95.000 – 105.000 đ/kg,Không đổi,2026-03-26
Sầu riêng Ri6 (Loại A),95.000 đ/kg,80.000 – 86.000 đ/kg,"▼ -9.000 đ (-9,5%)",2026-03-26
Sầu riêng Ri6 (Loại B),80.000 đ/kg,65.000 – 71.000 đ/kg,"▼ -9.000 đ (-11,3%)",2026-03-26
Sầu riêng Ri6 (Loại C),65.000 đ/kg,60.000 – 65.000 đ/kg,Không đổi,2026-03-26
Sầu riêng Ri6 (C-D),60.000 đ/kg,50.000 – 55.000 đ/kg,"▼ -5.000 đ (-8,3%)",2026-03-26
Sầu riêng Ri6 (Kem),22.000 đ/kg,17.000 – 22.000 đ/kg,Không đổi,2026-03-26
Musang King (Loại A),140.000 đ/kg,133.000 – 140.000 đ/kg,Không đổi,2026-03-26
Musang King (Loại B),120.000 đ/kg,110.000 – 113.000 đ/kg,"▼ -7.000 đ (-5,8%)",2026-03-26
Chuồng Bò (Loại A),92.000 đ/kg,70.000 – 85.000 đ/kg,"▼ -7.000 đ (-7,6%)",2026-03-26
Chuồng Bò (Loại B),77.000 đ/kg,55.000 – 70.000 đ/kg,"▼ -7.000 đ (-9,1%)",2026-03-26
Sáu Hữu (Loại A),120.000 đ/kg,115.000 – 120.000 đ/kg,Không đổi,2026-03-26
