Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Thái (Loại A) (đ/kg),165.000,120.000 – 125.000,"▼ -40.000 đ (-24,2%)",2026-04-07
Sầu riêng Thái (Loại B) (đ/kg),145.000,102.000 – 110.000,"▼ -35.000 đ (-24,1%)",2026-04-07
Sầu riêng Thái (Loại C) (đ/kg),75.000,52.000 – 60.000,"▼ -15.000 đ (-20,0%)",2026-04-07
Sầu riêng Ri6 (Loại A) (đ/kg),95.000,70.000 – 72.000,"▼ -23.000 đ (-24,2%)",2026-04-07
Sầu riêng Ri6 (Loại B) (đ/kg),80.000,50.000 – 57.000,"▼ -23.000 đ (-28,7%)",2026-04-07
Musang King (Loại A) (đ/kg),140.000,103.000 – 113.000,"▼ -27.000 đ (-19,3%)",2026-04-07
Musang King (Loại B) (đ/kg),120.000,80.000 – 83.000,"▼ -37.000 đ (-30,8%)",2026-04-07
Chuồng Bò (Loại A) (đ/kg),92.000,63.000 – 70.000,"▼ -22.000 đ (-23,9%)",2026-04-07
Chuồng Bò (Loại B) (đ/kg),77.000,48.000 – 50.000,"▼ -27.000 đ (-35,0%)",2026-04-07
Sáp Hữu (Loại A) (đ/kg),165.000,80.000,"▼ -85.000 đ (-51,5%)",2026-04-07
Sáp Hữu (Loại B) (đ/kg),-,50.000 – 60.000,Mới cập nhật,2026-04-07
