Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Thái (VIP A) (đ/kg),165.000,150.000 – 160.000,"▼ -5.000 đ (-3,0%)",2026-04-04
Sầu riêng Thái (VIP B) (đ/kg),145.000,130.000 – 145.000,Không đổi,2026-04-04
Sầu riêng Thái (Mẫu đẹp A) (đ/kg),145.000,120.000,"▼ -25.000 đ (-17,2%)",2026-04-04
Sầu riêng Thái (Mẫu đẹp B) (đ/kg),125.000,88.000 – 100.000,"▼ -25.000 đ (-20,0%)",2026-04-04
Sầu riêng Thái (Loại C) (đ/kg),75.000,115.000 – 125.000,"▲ +50.000 đ (+66,7%)",2026-04-04
Sầu riêng Thái (Dạt) (đ/kg),65.000,55.000 – 65.000,Không đổi,2026-04-04
Sầu riêng Thái (C-D) (đ/kg),65.000,60.000 – 70.000,"▲ +5.000 đ (+7,7%)",2026-04-04
Sầu riêng Thái (Dạt nặng) (đ/kg),50.000,50.000,Không đổi,2026-04-04
Sầu riêng Thái (Lỗi) (đ/kg),105.000,95.000 – 105.000,Không đổi,2026-04-04
Sầu riêng Ri6 (Loại A) (đ/kg),95.000,80.000 – 86.000,"▼ -9.000 đ (-9,5%)",2026-04-04
Sầu riêng Ri6 (Loại B) (đ/kg),80.000,65.000 – 71.000,"▼ -9.000 đ (-11,3%)",2026-04-04
Sầu riêng Ri6 (Loại C) (đ/kg),65.000,60.000 – 65.000,Không đổi,2026-04-04
Sầu riêng Ri6 (C-D) (đ/kg),60.000,50.000 – 55.000,"▼ -5.000 đ (-8,3%)",2026-04-04
Sầu riêng Ri6 (Kem) (đ/kg),22.000,17.000 – 22.000,Không đổi,2026-04-04
Musang King (Loại A) (đ/kg),140.000,133.000 – 140.000,Không đổi,2026-04-04
Musang King (Loại B) (đ/kg),120.000,110.000 – 113.000,"▼ -7.000 đ (-5,8%)",2026-04-04
Chuồng Bò (Loại A) (đ/kg),92.000,70.000 – 85.000,"▼ -7.000 đ (-7,6%)",2026-04-04
Chuồng Bò (Loại B) (đ/kg),77.000,55.000 – 70.000,"▼ -7.000 đ (-9,1%)",2026-04-04
Chuồng Bò (Dạt) (đ/kg),120.000,115.000 – 120.000,Không đổi,2026-04-04
Sáu Hữu (Loại A) (đ/kg),165.000,150.000 – 160.000,"▼ -5.000 đ (-3,0%)",2026-04-04
