Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Ri6 A (đ/kg),90.000 – 105.000,80.000 – 86.000,"▼ -10.000 đến -19.000 đ (~-14,9%)",2026-04-21
Sầu riêng Ri6 B (đ/kg),75.000 – 90.000,65.000 – 70.000,"▼ -10.000 đến -20.000 đ (~-18,2%)",2026-04-21
Sầu riêng Thái VIP A (đ/kg),155.000 – 160.000,120.000 – 130.000,"▼ -30.000 đến -35.000 đ (~-20,6%)",2026-04-21
Sầu riêng Thái VIP B (đ/kg),110.000 – 125.000,100.000 – 110.000,"▼ -10.000 đến -15.000 đ (~-10,6%)",2026-04-21
Sầu riêng Thái A (đ/kg),100.000 – 115.000,110.000 – 120.000,"▲ +5.000 đến +10.000 đ (~+7,0%)",2026-04-21
Sầu riêng Thái B (đ/kg),85.000 – 95.000,95.000 – 100.000,"▲ +5.000 đến +10.000 đ (~+8,3%)",2026-04-21
Sầu riêng Musang King A (đ/kg),170.000 – 180.000,170.000 – 180.000,Không đổi,2026-04-21
Sầu riêng Chuồng Bò A (đ/kg),75.000 – 85.000,70.000 – 75.000,"▼ -5.000 đến -10.000 đ (~-9,4%)",2026-04-21
Sầu riêng Ri6 C (đ/kg),50.000 – 60.000,45.000 – 55.000,"▼ -5.000 đ (~-9,1%)",2026-04-21
Sầu riêng Musang King B (đ/kg),130.000 – 150.000,105.000 – 120.000,"▼ -25.000 đến -30.000 đ (~-19,6%)",2026-04-21
