Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Ri6 A (đ/kg),80.000 – 85.000,80.000 – 85.000,- 0,2026-04-13
Sầu riêng Ri6 B (đ/kg),65.000 – 70.000,65.000 – 70.000,- 0,2026-04-13
Sầu riêng Thái A (đ/kg),115.000 – 127.000,120.000 – 130.000,▲ +3.000 - 5.000,2026-04-13
Sầu riêng Thái B (đ/kg),95.000 – 107.000,100.000 – 110.000,▲ +3.000 - 5.000,2026-04-13
Sầu riêng Thái VIP A (đ/kg),135.000 – 140.000,155.000 – 160.000,▲ +20.000,2026-04-13
Sầu riêng Thái VIP B (đ/kg),105.000 – 115.000,125.000 – 135.000,▲ +20.000,2026-04-13
Sầu riêng Musang King A (đ/kg),135.000 – 145.000,135.000 – 145.000,- 0,2026-04-13
Sầu riêng Chuồng Bò A (đ/kg),65.000 – 70.000,65.000 – 70.000,- 0,2026-04-13
