Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Ri6,A,Toàn thị trường,2026-04-16,90000.0,105000.0,đ/kg
Ri6,B,Toàn thị trường,2026-04-16,75000.0,90000.0,đ/kg
Thái,VIP A,Toàn thị trường,2026-04-16,160000.0,165000.0,đ/kg
Thái,VIP B,Toàn thị trường,2026-04-16,115000.0,130000.0,đ/kg
Thái,A,Toàn thị trường,2026-04-16,115000.0,125000.0,đ/kg
Thái,B,Toàn thị trường,2026-04-16,105000.0,113000.0,đ/kg
Musang King,A,Toàn thị trường,2026-04-16,135000.0,142000.0,đ/kg
Chuồng Bò,A,Toàn thị trường,2026-04-16,85000.0,95000.0,đ/kg
Ri6,C,Toàn thị trường,2026-04-16,55000.0,65000.0,đ/kg
Musang King,B,Toàn thị trường,2026-04-16,115000.0,122000.0,đ/kg
