Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Ri6,A,Toàn thị trường,2026-04-13,80000.0,85000.0,đ/kg
Ri6,B,Toàn thị trường,2026-04-13,65000.0,70000.0,đ/kg
Thái,A,Toàn thị trường,2026-04-13,120000.0,130000.0,đ/kg
Thái,B,Toàn thị trường,2026-04-13,100000.0,110000.0,đ/kg
Thái,VIP A,Toàn thị trường,2026-04-13,155000.0,160000.0,đ/kg
Thái,VIP B,Toàn thị trường,2026-04-13,125000.0,135000.0,đ/kg
Musang King,A,Toàn thị trường,2026-04-13,135000.0,145000.0,đ/kg
Chuồng Bò,A,Toàn thị trường,2026-04-13,65000.0,70000.0,đ/kg
