Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất
Ri6,A,Toàn thị trường,2026-04-14,90000,105000
Ri6,B,Toàn thị trường,2026-04-14,75000,90000
Thái,VIP A,Toàn thị trường,2026-04-14,160000,165000
Thái,VIP B,Toàn thị trường,2026-04-14,115000,130000
Thái,A,Toàn thị trường,2026-04-14,115000,125000
Thái,B,Toàn thị trường,2026-04-14,105000,113000
Musang King,A,Toàn thị trường,2026-04-14,135000,142000
Chuồng Bò,A,Toàn thị trường,2026-04-14,85000,95000
Ri6,C,Toàn thị trường,2026-04-14,55000,65000
Musang King,B,Toàn thị trường,2026-04-14,115000,122000
