Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Hạt điều,W240,Toàn thị trường,2026-04-22,290000.0,380000.0,vnđ/kg
Hạt điều,W320,Toàn thị trường,2026-04-22,230000.0,320000.0,vnđ/kg
Hạt điều,W450,Toàn thị trường,2026-04-22,185000.0,260000.0,vnđ/kg
