Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Thái,VIP A,Toàn thị trường,2026-04-06,150000.0,160000.0,đ/kg
Thái,VIP B,Toàn thị trường,2026-04-06,130000.0,145000.0,đ/kg
Thái,A,Toàn thị trường,2026-04-06,120000.0,120000.0,đ/kg
Thái,B,Toàn thị trường,2026-04-06,88000.0,100000.0,đ/kg
Thái,C,Toàn thị trường,2026-04-06,115000.0,125000.0,đ/kg
Thái,Dạt,Toàn thị trường,2026-04-06,55000.0,65000.0,đ/kg
Thái,C-D,Toàn thị trường,2026-04-06,60000.0,70000.0,đ/kg
Thái,Dạt nặng,Toàn thị trường,2026-04-06,50000.0,50000.0,đ/kg
Thái,Lỗi,Toàn thị trường,2026-04-06,95000.0,105000.0,đ/kg
Ri6,A,Toàn thị trường,2026-04-06,80000.0,86000.0,đ/kg
Ri6,B,Toàn thị trường,2026-04-06,65000.0,71000.0,đ/kg
Ri6,C,Toàn thị trường,2026-04-06,60000.0,65000.0,đ/kg
Ri6,C-D,Toàn thị trường,2026-04-06,50000.0,55000.0,đ/kg
Ri6,Kem,Toàn thị trường,2026-04-06,17000.0,22000.0,đ/kg
Musang King,A,Toàn thị trường,2026-04-06,133000.0,140000.0,đ/kg
Musang King,B,Toàn thị trường,2026-04-06,110000.0,113000.0,đ/kg
Chuồng Bò,A,Toàn thị trường,2026-04-06,70000.0,85000.0,đ/kg
Chuồng Bò,B,Toàn thị trường,2026-04-06,55000.0,70000.0,đ/kg
Chuồng Bò,Dạt,Toàn thị trường,2026-04-06,115000.0,120000.0,đ/kg
Sáu Hữu,A,Toàn thị trường,2026-04-06,150000.0,160000.0,đ/kg
