Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Giá trung bình
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-15,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-15,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-15,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-15,276759,337382,307070
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-15,224043,284666,254354
Ri6,A,Toàn thị trường,2026-04-16,90000,105000,97500
Ri6,B,Toàn thị trường,2026-04-16,75000,90000,82500
Thái,VIP A,Toàn thị trường,2026-04-16,160000,165000,162500
Thái,VIP B,Toàn thị trường,2026-04-16,115000,130000,122500
Thái,A,Toàn thị trường,2026-04-16,115000,125000,120000
Thái,B,Toàn thị trường,2026-04-16,105000,113000,109000
Musang King,A,Toàn thị trường,2026-04-16,135000,142000,138500
Chuồng Bò,A,Toàn thị trường,2026-04-16,85000,95000,90000
Ri6,C,Toàn thị trường,2026-04-16,55000,65000,60000
Musang King,B,Toàn thị trường,2026-04-16,115000,122000,118500
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-04-16,140000,140000,140000
Hồ tiêu,Tiêu đen,Gia Lai,2026-04-16,139500,139500,139500
Hồ tiêu,Tiêu đen,Đắk Nông,2026-04-16,139000,139000,139000
Hồ tiêu,Tiêu đen,Bà Rịa - Vũng Tàu,2026-04-16,138500,138500,138500
Hồ tiêu,Tiêu đen,Bình Phước,2026-04-16,138500,138500,138500
Hồ tiêu,Tiêu đen,Đồng Nai,2026-04-16,139000,139000,139000
Hồ tiêu,Tiêu đen,,2026-04-16,7065,7065,7065
Hồ tiêu,Tiêu đen,,2026-04-16,6150,6150,6150
Hồ tiêu,Tiêu đen,,2026-04-16,9300,9300,9300
Hồ tiêu,Tiêu đen,,2026-04-16,9308,9308,9308
Hồ tiêu,Tiêu đen,,2026-04-16,9000,9000,9000
Hồ tiêu,Tiêu đen,,2026-04-16,12200,12200,12200
Hạt điều,Hạt tươi,Đắk Lắk,2026-04-16,28000,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-04-16,27800,27800,27800
Hạt điều,Hạt tươi,Gia lai,2026-04-16,29000,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-04-16,28300,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-04-16,28700,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-04-16,29200,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-04-16,30500,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-16,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-16,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-16,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-16,276748,337369,307058
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-16,224034,284655,254344
Ri6,A,Toàn thị trường,2026-04-19,80000,86000,83000
Ri6,B,Toàn thị trường,2026-04-19,65000,70000,67500
Thái,VIP A,Toàn thị trường,2026-04-19,120000,130000,125000
Thái,VIP B,Toàn thị trường,2026-04-19,100000,110000,105000
Thái,A,Toàn thị trường,2026-04-19,110000,120000,115000
Thái,B,Toàn thị trường,2026-04-19,95000,100000,97500
Musang King,A,Toàn thị trường,2026-04-19,170000,180000,175000
Chuồng Bò,A,Toàn thị trường,2026-04-19,70000,75000,72500
Ri6,C,Toàn thị trường,2026-04-19,45000,55000,50000
Musang King,B,Toàn thị trường,2026-04-19,105000,120000,112500
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-04-19,141000,141000,141000
Hồ tiêu,Tiêu đen,Gia Lai,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,Đắk Nông,2026-04-19,141000,141000,141000
Hồ tiêu,Tiêu đen,Bà Rịa - Vũng Tàu,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,Bình Phước,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,,2026-04-19,7043,7043,7043
Hồ tiêu,Tiêu đen,,2026-04-19,9279,9279,9279
Hồ tiêu,Tiêu đen,,2026-04-19,12200,12200,12200
Hạt điều,Hạt tươi,Đắk Lắk,2026-04-19,28000,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-04-19,27800,27800,27800
Hạt điều,Hạt tươi,Gia lai,2026-04-19,29000,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-04-19,28300,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-04-19,28700,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-04-19,29200,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-04-19,30500,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-19,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-19,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-19,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-19,276759,337382,307070
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-19,224043,284666,254354
Ri6,A,Toàn thị trường,2026-04-20,80000,86000,83000
Ri6,B,Toàn thị trường,2026-04-20,65000,70000,67500
Thái,VIP A,Toàn thị trường,2026-04-20,120000,130000,125000
Thái,VIP B,Toàn thị trường,2026-04-20,100000,110000,105000
Thái,A,Toàn thị trường,2026-04-20,110000,120000,115000
Thái,B,Toàn thị trường,2026-04-20,95000,100000,97500
Musang King,A,Toàn thị trường,2026-04-20,170000,180000,175000
Chuồng Bò,A,Toàn thị trường,2026-04-20,70000,75000,72500
Ri6,C,Toàn thị trường,2026-04-20,45000,55000,50000
Musang King,B,Toàn thị trường,2026-04-20,105000,120000,112500
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-04-20,141000,141000,141000
Hồ tiêu,Tiêu đen,Gia Lai,2026-04-20,140000,140000,140000
Hồ tiêu,Tiêu đen,Đắk Nông,2026-04-20,141000,141000,141000
Hồ tiêu,Tiêu đen,Bà Rịa - Vũng Tàu,2026-04-20,140000,140000,140000
Hồ tiêu,Tiêu đen,Bình Phước,2026-04-20,140000,140000,140000
Hồ tiêu,Tiêu đen,,2026-04-20,7043,7043,7043
Hồ tiêu,Tiêu đen,,2026-04-20,9279,9279,9279
Hồ tiêu,Tiêu đen,,2026-04-20,12200,12200,12200
Hạt điều,Hạt tươi,Đắk Lắk,2026-04-20,28000,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-04-20,27800,27800,27800
Hạt điều,Hạt tươi,Gia lai,2026-04-20,29000,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-04-20,28300,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-04-20,28700,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-04-20,29200,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-04-20,30500,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-20,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-20,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-20,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-20,276759,337382,307070
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-20,224043,284666,254354
Ri6,A,Toàn thị trường,2026-04-19,80000,86000,83000
Ri6,B,Toàn thị trường,2026-04-19,65000,70000,67500
Thái,VIP A,Toàn thị trường,2026-04-19,120000,130000,125000
Thái,VIP B,Toàn thị trường,2026-04-19,100000,110000,105000
Thái,A,Toàn thị trường,2026-04-19,110000,120000,115000
Thái,B,Toàn thị trường,2026-04-19,95000,100000,97500
Musang King,A,Toàn thị trường,2026-04-19,170000,180000,175000
Chuồng Bò,A,Toàn thị trường,2026-04-19,70000,75000,72500
Ri6,C,Toàn thị trường,2026-04-19,45000,55000,50000
Musang King,B,Toàn thị trường,2026-04-19,105000,120000,112500
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-04-19,141000,141000,141000
Hồ tiêu,Tiêu đen,Gia Lai,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,Đắk Nông,2026-04-19,141000,141000,141000
Hồ tiêu,Tiêu đen,Bà Rịa - Vũng Tàu,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,Bình Phước,2026-04-19,140000,140000,140000
Hồ tiêu,Tiêu đen,,2026-04-19,7043,7043,7043
Hồ tiêu,Tiêu đen,,2026-04-19,9279,9279,9279
Hồ tiêu,Tiêu đen,,2026-04-19,12200,12200,12200
Hạt điều,Hạt tươi,Đắk Lắk,2026-04-19,28000,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-04-19,27800,27800,27800
Hạt điều,Hạt tươi,Gia lai,2026-04-19,29000,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-04-19,28300,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-04-19,28700,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-04-19,29200,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-04-19,30500,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-19,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-19,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-19,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-19,276759,337382,307070
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-19,224043,284666,254354
